model,Forcing,fingerprint,year of detection,p-value
FLOR-FA,AllForc,Guess,2010,0.978732
FLOR-FA,AllForc,F5,2010,0.994608
FLOR-FA,AllForc,F10,2005,0.989147
FLOR-FA,AllForc,F15,2002,0.982781
FLOR,AllForc,Guess,2010,0.991130
FLOR,AllForc,F5,N/A,0.953135
FLOR,AllForc,F10,2010,0.993448
FLOR,AllForc,F15,2010,0.992897
SPEAR,AllForc,Guess,2002,0.980631
SPEAR,AllForc,F5,2000,0.979881
SPEAR,AllForc,F10,2005,0.976552
SPEAR,AllForc,F15,2006,0.985983
FLOR-FA,CO2,Guess,N/A,0.480020
FLOR-FA,CO2,F5,N/A,0.183772
FLOR-FA,CO2,F10,N/A,0.705089
FLOR-FA,CO2,F15,N/A,0.851101
FLOR,CO2,Guess,2011,0.976095
FLOR,CO2,F5,N/A,0.757468
FLOR,CO2,F10,2010,0.993594
FLOR,CO2,F15,2010,0.995343
SPEAR,CO2,Guess,N/A,0.912277
SPEAR,CO2,F5,N/A,0.683711
SPEAR,CO2,F10,N/A,0.894875
SPEAR,CO2,F15,2010,0.978988
FLOR,Nat,Guess,N/A,0.876519
FLOR,Nat,F5,2018,0.982351
FLOR,Nat,F10,2009,0.977968
FLOR,Nat,F15,2012,0.983564
FLOR,Nat,Guess,N/A,0.971433
FLOR,Nat,F5,N/A,0.890257
FLOR,Nat,F10,N/A,0.920696
FLOR,Nat,F15,N/A,0.915647
SPEAR,Nat,Guess,N/A,0.668024
SPEAR,Nat,F5,N/A,0.384037
SPEAR,Nat,F10,N/A,0.885686
SPEAR,Nat,F15,2015,0.982730
